"","webid","name","hlyRange","dlyRange","mlyRange"
"1",NA,"","","",""
"2",NA,"WOLF CREEK","","",""
"3",7568,"BRANTRIDGE DOMINICA","1971-07-01/1973-06-30","1971-07-01/1973-06-30","N/A"
"4",8954,"CAREY ISLANDS GREENLAND","1973-08-11/1974-09-23","1973-01-01/1974-09-30","N/A"
"5",7560,"GROSTENQUIN A FRANCE","N/A","1955-02-01/1964-03-31","N/A"
"6",6805,"LAHR A GERMANY","1967-09-01/1991-09-30","1967-09-01/1991-09-30","1977-01-01/1991-12-01"
"7",7561,"MARVILLE A FRANCE","N/A","1955-02-01/1967-03-31","N/A"
"8",10756,"ROWAN GORILLA III","1994-02-01/1998-06-24","N/A","N/A"
"9",47627,"SIOUX FALLS CLIMATE","2008-10-08/2011-09-13","2008-10-08/2011-09-12","N/A"
"10",6806,"SOELLINGEN A GERMANY","1954-10-01/1991-09-30","1955-01-01/1991-09-30","1977-01-01/1991-12-01"
"11",7562,"ZWEIBRUCKEN A GERMANY","1954-10-01/1969-05-31","1955-01-01/1967-12-31","N/A"
"12",1308,"100 MILE HOUSE","N/A","1970-05-01/1999-11-30","1970-01-01/1999-11-01"
"13",625,"100 MILE HOUSE","N/A","1957-06-01/1959-08-31","1957-01-01/1959-12-01"
"14",1309,"100 MILE HOUSE 6NE","N/A","1987-06-01/2012-03-24","1987-01-01/2007-02-01"
"15",626,"108 MILE HOUSE","N/A","1970-05-01/1973-07-31","1970-01-01/1973-12-01"
"16",559,"108 MILE HOUSE ABEL LAKE","N/A","1987-07-01/2012-05-15","1987-01-01/2007-02-01"
"17",1224,"108 MILE HOUSE WATSON LAKE","N/A","1987-07-01/1989-12-31","1987-01-01/1989-12-01"
"18",627,"150 MILE HOUSE","N/A","1947-10-01/1963-09-30","1947-01-01/1963-12-01"
"19",628,"150 MILE HOUSE 7N","N/A","1969-01-01/1975-01-31","1969-01-01/1975-12-01"
"20",1321,"70 MILE HOUSE","N/A","1974-05-01/1987-06-30","1974-01-01/1987-12-01"
"21",701,"ABBOTSFORD","N/A","1956-04-01/1956-12-31","1956-01-01/1956-12-01"
"22",702,"ABBOTSFORD A","1953-01-01/2012-05-16","1944-10-01/2012-05-16","1944-01-01/2011-08-01"
"23",703,"ABBOTSFORD EAST","N/A","1960-11-01/1962-12-31","1960-01-01/1962-12-01"
"24",704,"ABBOTSFORD KING ROAD","N/A","1968-11-01/1973-03-31","1968-01-01/1973-12-01"
"25",705,"ABBOTSFORD UPPER SUMAS","N/A","1935-11-01/1946-03-31","1935-01-01/1946-12-01"
"26",1166,"ABERFELDIE","N/A","1950-05-01/1982-05-31","1950-01-01/1982-12-01"
"27",14,"ACTIVE PASS","N/A","1984-07-01/1996-11-30","1984-01-01/1996-11-01"
